species,growth_form,source,,
Justicia hyssopifolia,Derived Woodiness,"F. Lens, unpublished data, Hooft van Huysduynen et al. 2021",,
Sambucus palmensis,Ancestral Woodiness,"F. Lens, unpublished data, Hooft van Huysduynen et al. 2021",,
Viburnum rugosum,Ancestral Woodiness,"F. Lens, unpublished data, Hooft van Huysduynen et al. 2021",,
Aizoanthemopsis hispanica,Annual Herbaceous,"F. Lens, unpublished data; 1",,
Aizoon canariense,Annual Herbaceous,"F. Lens, unpublished data; 2",,
Arthrocaulon macrostachyum,Perennial Herbaceous,"F. Lens, unpublished data; 3",,
Atriplex glauca,Perennial Herbaceous,"F. Lens, unpublished data; 4",,
Atriplex halimus,Perennial Herbaceous,"F. Lens, unpublished data; 5",,
Bassia tomentosa,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Bosea yervamora,Insular Woodiness,Hooft Van Huysduynen et al. 2021,,
Chenopodiastrum coronopus,Annual Herbaceous,"F. Lens, unpublished data; 6",,
Chenopodiastrum murale,Annual Herbaceous,"F. Lens, unpublished data; 7",,
Chenopodium album,Annual Herbaceous,"F. Lens, unpublished data; 8",,
Chenopodium vulvaria,Annual Herbaceous,"F. Lens, unpublished data; 8",,
Oxybasis glauca,Annual Herbaceous,"F. Lens, unpublished data; 9",,
Oxybasis urbica,Annual Herbaceous,"F. Lens, unpublished data; 9",,
Patellifolia procumbens,Perennial Herbaceous,"F. Lens, unpublished data; 10",,
Salicornia perennis,Derived Woodiness,"F. Lens, unpublished data",,
Salsola divaricata,Derived Woodiness,"F. Lens, unpublished data",,
Salsola kali,Derived Woodiness,"F. Lens, unpublished data",,
Salsola oppositifolia,Derived Woodiness,NA,,
Traganum moquinii,Derived Woodiness,"F. Lens, unpublished data",,
Pistacia atlantica,Ancestral Woodiness,"F. Lens, unpublished data",,
Pistacia lentiscus,Ancestral Woodiness,"F. Lens, unpublished data",,
Rhus coriaria,Ancestral Woodiness,"F. Lens, unpublished data",,
Searsia albida,Ancestral Woodiness,"F. Lens, unpublished data",,
Ammi majus,Annual Herbaceous,"F. Lens, unpublished data; 11",,
Ammi procerum,Annual Herbaceous,"F. Lens, unpublished data; 12",,
Ammodaucus leucotrichus,Annual Herbaceous,"F. Lens, unpublished data; 13",,
Apium nodiflorum,Perennial Herbaceous,"F. Lens, unpublished data; 15",,
Helosciadium nodiflorum,Perennial Herbaceous,"F. Lens, unpublished data; 15",,
Astydamia latifolia,Perennial Herbaceous,"F. Lens, unpublished data; 16",,
Bupleurum handiense,Derived Woodiness,Hooft Van Huysduynen et al. 2021,,
Bupleurum salicifolium,Derived Woodiness,Hooft Van Huysduynen et al. 2021,,
Bupleurum semicompositum,Annual Herbaceous,"F. Lens, unpublished data; 17",,
Canaria tortuosa,Perennial Herbaceous,"F. Lens, unpublished data; 18",,
Rutheopsis tortuosa,Perennial Herbaceous,"F. Lens, unpublished data; 18",,
Conium maculatum,Perennial Herbaceous,"F. Lens, unpublished data; 19",,
Crithmum maritimum,Perennial Herbaceous,"F. Lens, unpublished data; 20",,
Daucus aureus,Perennial Herbaceous,"F. Lens, unpublished data; 21",,
Daucus carota,Perennial Herbaceous,"F. Lens, unpublished data; 21",,
Daucus elegans,Perennial Herbaceous,"F. Lens, unpublished data; 21",,
Drusa glandulosa,Annual Herbaceous,"F. Lens, unpublished data; 22",,
Foeniculum vulgare,Perennial Herbaceous,"F. Lens, unpublished data; 23",,
Rutheopsis herbanica,Perennial Herbaceous,"F. Lens, unpublished data; 18",,
Scandix pecten-veneris,Annual Herbaceous,"F. Lens, unpublished data; 24",,
Todaroa aurea,Perennial Herbaceous,"F. Lens, unpublished data; 25",,
