"phylum","order","family","genus","species","num_occurrences","elevation_median","elevation_mad","TRI_median","annual_temp","diurnal_temp_range_median","temp_seasonality","temp_driest_quarter","temp_coldest_quarter","annual_precip","precip_driest_quarter","precip_seasonality","evapotranspiration","evaporation","transpiration","interception","aridity_index","range_size","growth_form"
"Tracheophyta","Apiales","Apiaceae","Astydamia","Astydamia latifolia",975,13.3166151046753,13.8831909463406,26.0618644715269,21.7584159143359,14.3802989211299,250.256331294347,24.6397893691843,18.6003265465564,218.44386482804,1.34274333048896,87.3734014648036,350.940673828125,254.704803466614,10.7800168993374,0,0.622452400416328,11382.3495121425,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Athamanta","Athamanta cervariifolia",32,724.285339355469,314.888938018799,143.398011997156,18.7377274356743,17.7643799733652,349.850308417674,23.0283201639566,14.3912428396264,454.938345858516,6.39729480226491,90.4211161593414,358.241195678711,80.598697662385,287.670288085951,0.56636998057347,1.26992191670365,4541.02348297149,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Athamanta","Athamanta montana",84,1268.03063964844,887.484142822266,95.342950527499,15.8108712302805,18.4575567353135,332.055926102685,21.8300599515134,11.0634034336058,573.529311684908,3.34452288554103,86.9108947751287,246.367752075581,69.861465454087,183.611801147576,1.1414203643833,2.32793986572139,4541.02348297149,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Bupleurum","Bupleurum salicifolium",67,674.819763183594,162.196023742676,111.266511185188,18.1072618139704,16.9389238655973,282.829861946837,22.4473955109541,14.3881671242867,414.543679377713,6.04019055333222,88.7720095654569,418.804779052692,56.6261291503448,333.865661621658,2.35333609581023,0.989825570556722,4455.30747089077,"Derived Woodiness"
"Tracheophyta","Apiales","Apiaceae","Crithmum","Crithmum maritimum",186,15.9013061523438,16.9052915834427,45.9314605296316,21.4064791583865,13.5551225629028,219.080930691812,24.5380800438305,18.5820856416158,316.45000030004,7.68553796942414,76.3621459764418,613.12149047783,557.4660949713,22.0348463059332,1.24881992381144e-13,0.5161293564403,4858.22481674097,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Daucus","Daucus carota",48,648.277496337891,138.712821551514,67.2478527826795,18.0922957360224,14.5355690784275,278.858137523266,22.0265717174302,14.5618485993838,568.831618323184,14.7210130689914,74.8419706222155,381.13009643563,43.4034957885885,325.006423950162,3.53066813945558,1.49248674833858,2007.5205287343,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Daucus","Daucus elegans",54,779.345642089844,176.249594934082,96.1640156282539,17.9425773308268,12.4172667038643,253.707398330538,21.6116614453893,14.555697073146,621.690379409697,13.9171149899333,75.1470465008981,691.661437988155,44.7355766296272,617.563659667768,16.8214521408071,0.898836258991129,2007.5205287343,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Drusa","Drusa glandulosa",137,641.41015625,422.610949328613,76.8879013797641,19.1152604403892,16.7027599262402,300.64220851487,23.4011153501121,15.2639917203812,426.350678071446,5.66788880072927,86.6209006938948,470.749450683594,63.3490829467773,393.795013427734,3.27033495903359,0.905684918914563,5812.53200251284,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Ferula","Ferula communis",163,743.242797851562,412.471825817871,77.1441742287179,18.8794360840098,17.6826984586157,322.040517060879,23.2190858127073,14.6772362183244,456.140324785093,5.522392220019,82.3820350268743,391.536132812364,75.1044692993322,311.875793457074,1.13043713569769,1.16500186460106,7240.56185336111,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Ferula","Ferula lancerotensis",63,507.284881591797,92.1221346496582,78.459170150969,18.0885732453174,13.202463869496,243.592023643971,19.8753460804957,14.564828148106,198.874046091781,0,88.262869656579,35.3448524474764,16.0181465148939,17.8957462311401,0.0192656591534264,5.62667637069116,7240.56185336111,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Foeniculum","Foeniculum vulgare",402,567.246215820312,288.754244540405,52.4234368389855,18.8240455961252,16.3299647523732,288.654367755889,22.8971189890919,15.1464865957328,452.279610742733,5.56384243225494,83.0537499650931,342.320587158203,63.5832805633357,257.04457855257,1.10698974132371,1.32121650788625,8536.02994637965,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Pimpinella","Pimpinella cumbrae",54,2143.943359375,170.614466162109,81.7800574415467,11.9955646068157,19.1589155166384,310.097454069811,14.1879457934131,8.67401557589757,413.804494829291,1.96117907124308,106.494282279616,205.810195922876,171.644248962534,3.97882091998636,0,2.01061221954406,228.268460667854,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Scandix","Scandix pecten-veneris",34,745.549957275391,316.113322741699,71.0049086272713,17.8856173192758,17.673144305918,328.462066548243,22.9839751032629,13.7073200605734,411.818393445336,1.778068766765,89.357916384182,231.959350586055,48.818183898954,187.521705627553,0.733600795268426,1.77539035354625,21042.2324563201,"Annual Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Todaroa","Todaroa aurea",62,573.270874023438,314.711304730225,87.9090568219536,19.4295285922811,17.1116470296114,326.920924901215,23.9145775981466,15.2495493094424,419.158245850665,3.91521271785752,88.0522741659654,246.620681762691,68.6853103637695,164.488517761096,0.167483195662688,1.69960703560944,4029.98580242572,"Perennial Herbaceous"
"Tracheophyta","Apiales","Apiaceae","Torilis","Torilis arvensis",31,226.171417236328,235.360578222656,74.055375213219,20.3546153365204,14.0076034699478,239.715136805896,22.9973756194756,17.1604062987376,341.056302510129,4.99599945179459,82.9881162001371,285.918975831388,101.25226593017,205.642471313477,0.320812284946442,1.19284248804548,4760.57596515188,"Annual Herbaceous"
"Tracheophyta","Apiales","Araliaceae","Hedera","Hedera canariensis",291,832.055114746094,177.404256555176,89.5632370545071,17.469647326762,12.2320403043769,263.48526919648,21.3580975608609,13.9919271986409,667.19833345676,18.1455084394587,74.0160735662112,598.621704101562,39.4623641967771,561.283813476562,15.5022010802936,1.1145575392361,6490.5850499953,"Ancestral Woodiness"
"Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex canariensis",671,799.105285644531,290.339031188965,83.7178496531828,17.7031085019237,15.8774786725928,273.805257723505,21.7057910257072,14.2978080024272,578.053496766702,12.1638627494729,76.7688758918915,674.468200683859,48.1449699401855,603.828491210599,11.9953374862671,0.857050778940505,5487.10560468792,"Ancestral Woodiness"
"Tracheophyta","Aquifoliales","Aquifoliaceae","Ilex","Ilex perado",75,833.919372558594,124.639478137207,78.8635381266171,16.8309686445057,11.4511601092022,262.946011644977,20.8507855185619,13.3837941391911,628.514390108867,18.3637062642412,71.162540295941,543.62225341801,18.9484882354605,513.866699218795,14.8633985519445,1.15616015745695,5487.10560468792,"Ancestral Woodiness"
"Tracheophyta","Asterales","Asteraceae","Allagopappus","Allagopappus canariensis",215,215.240921020508,259.106265721893,56.2271444876303,20.7150628726656,15.7254158692266,277.560196202721,24.3653593125187,17.318421902863,279.046075551271,1.97261045051031,89.8260491426814,238.089187622008,94.9366073609061,104.98851776123,4.89636520055242e-13,1.17202330075688,2396.98479132577,"Derived Woodiness"
"Tracheophyta","Asterales","Asteraceae","Andryala","Andryala integrifolia",39,1112.18200683594,294.132854736328,47.9912123327214,16.6041124169313,19.45861812974,360.944378517731,21.6095215502977,11.8925453953575,561.925742448498,3.12862190395371,86.5813538684194,344.959838867167,75.241973876976,252.032058715592,1.14705085754595,1.62895989369034,9155.28087968861,"Perennial Herbaceous"
"Tracheophyta","Asterales","Asteraceae","Andryala","Andryala perezii",32,509.856704711914,115.525637136841,72.8425222138602,18.1242686255818,13.178244883865,242.197242303757,20.1128625383725,14.6510888194745,195.706001361966,0,89.3790585364404,32.5891723632995,15.4698443412779,16.7672724723538,7.90755570536637e-13,6.00524613452171,9155.28087968861,"Perennial Herbaceous"
"Tracheophyta","Asterales","Asteraceae","Andryala","Andryala pinnatifida",394,752.432769775391,288.97108293457,77.7327374762117,17.7903471512416,14.8951348374629,267.37187961132,21.6759141592673,14.3423276833798,457.589057249627,8.53828948911573,81.1724375985935,406.713989257982,54.7777652740488,334.890228271484,2.23045003414385,1.12508807008203,9155.28087968861,"Perennial Herbaceous"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum adauctum",93,1463.43310546875,346.952832495117,77.1204562066891,15.2313166943949,19.5851207473268,388.02491383123,21.3845986964453,10.4158577701019,538.726615446641,1.48790607503132,93.6102282483182,327.640563964856,91.581527710023,238.321548461742,0.358549296854973,1.64426104303869,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum broussonetii",103,756.333068847656,191.808479296875,74.8792387331432,17.7339099111778,12.1080120529951,255.308107280718,21.5366973315899,14.2697062675477,617.059836988549,16.1990639696197,71.5490190482656,523.284240722656,37.9128189086717,476.60891723633,8.6781101226962,1.17920584830987,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum callichrysum",46,1070.14495849609,329.176925427246,75.3453606952579,15.5692891116302,19.3617115115466,387.065538215355,21.3857101998338,11.1326925676219,619.455792149526,8.45553155265675,88.8545274333563,471.666519165203,58.2267322540054,402.451965332179,5.23548030853349,1.31333424565706,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum foeniculaceum",28,696.593139648438,337.482752142334,89.4127757707805,18.9106833679048,19.1132832599468,368.687299119555,25.1562800131538,14.574790832982,366.731153118262,5.97764631699015,91.3347521148961,373.251998901358,109.773300170893,248.750350952162,0.0712332352994586,0.98252964270174,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum frutescens",381,75.1547927856445,96.0011651098251,59.7183769120201,21.3413186628666,14.3291583434576,237.243774359054,24.5951369970692,18.3036344286328,311.146961419915,4.48196536155201,82.0095787260738,299.279846190962,124.063591003418,70.8758544922255,2.95527707575011e-12,1.03965223646025,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum gracile",82,605.075378417969,446.242330078125,39.3680725382366,19.6243363200049,18.2666691726546,344.637300167189,23.3145905314682,15.2881823932428,250.033755154706,0.490754350600248,99.0338545411367,197.143646240069,111.709922790538,88.7243385314695,0,1.26828208731734,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum maderense",34,489.455657958984,130.303835412598,83.1259924494705,18.1468806450463,13.2053989925981,240.260609585587,20.0489600935615,14.7659933908518,205.04440230584,0,88.0203182853867,49.2350425719603,16.8081512450764,30.7595500945706,0.107344001532994,4.16460292496251,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Argyranthemum","Argyranthemum tenerifae",139,2268.166015625,199.402822705078,47.8652659373406,10.8239170055044,18.7817720704429,343.720138169218,14.0919023695288,7.08661942895063,386.771674562878,1.44857721039878,95.1961012313727,187.215011596762,177.316207885758,0.563157141208649,0,2.06592233851384,8951.70650826834,"Insular Woodiness"
"Tracheophyta","Asterales","Asteraceae","Artemisia","Artemisia thuscula",683,480.659912109375,362.350439767456,73.1460104601506,19.6356589144271,14.8782309618786,264.724177605938,23.2432214324391,16.0852562566417,395.637040053421,7.19253419546406,79.42714686695,368.222778320204,79.0415191650251,282.4306640625,0.93421369791078,1.07445020609066,7015.88158273186,"Ancestral Woodiness"
