Specimen_code,Species_name,Provenance,Family,New_tip_label,
RB868,Persea borbonia,USA,Lauraceae,RB868_Persea borbonia_USA_Lauraceae,
RB220,Persea veraguasensis,Costa Rica,Lauraceae,RB220_Persea veraguasensis_Costa Rica_Lauraceae,
ODN167,Persea barbujana,Canary Islands,Lauraceae,ODN167_Persea barbujana_Canary Islands_Lauraceae,
ODN136,Ocotea foetens,Canary Islands,Lauraceae,ODN136_Ocotea foetens_Canary Islands_Lauraceae,
RB869-2,Ocotea kenyensis,Ethiopia,Lauraceae,RB869-2_Ocotea kenyensis_Ethiopia_Lauraceae,
RB248,Chelidonium majus,Italy,Papaveraceae,RB248_Chelidonium majus_Italy_Papaveraceae,
RB302,Chelidonium majus,Canary Islands,Papaveraceae,RB302_Chelidonium majus_Canary Islands_Papaveraceae,
RB879,Chelidonium majus,Portugal,Papaveraceae,RB879_Chelidonium majus_Portugal_Papaveraceae,
RB864,Ceratocapnos heterocarpa,Algeria,Papaveraceae,RB864_Ceratocapnos heterocarpa_Algeria_Papaveraceae,
RB247,Platycapnos spicatus,Spain,Papaveraceae,RB247_Platycapnos spicatus_Spain_Papaveraceae,
P03185140,Platycapnos spicatus,Canary Islands,Papaveraceae,P03185140_Platycapnos spicatus_Canary Islands_Papaveraceae,
RB262,Osyris lanceolata,Ethiopia,Santalaceae,RB262_Osyris lanceolata_Ethiopia_Santalaceae,
RB902,Osyris lanceolata,Morocco,Santalaceae,RB902_Osyris lanceolata_Morocco_Santalaceae,
RB106,Umbilicus heylandianus,Morocco,Crassulaceae,RB106_Umbilicus heylandianus_Morocco_Crassulaceae,*
RB7,Ilex aquifolium,Spain,Aquifoliaceae,RB7_Ilex aquifolium_Spain_Aquifoliaceae,
RB646,Ilex aquifolium,Italy,Aquifoliaceae,RB646_Ilex aquifolium_Italy_Aquifoliaceae,
RB463,Ilex perado,Canary Islands,Aquifoliaceae,RB463_Ilex perado_Canary Islands_Aquifoliaceae,
ODN116,Ilex canariensis,Canary Islands,Aquifoliaceae,ODN116_Ilex canariensis_Canary Islands_Aquifoliaceae,
RB671,Ilex integerrima,Brazil,Aquifoliaceae,RB671_Ilex integerrima_Brazil_Aquifoliaceae,
RB901,Plantago afra,Portugal,Plantaginaceae,RB901_Plantago afra_Portugal_Plantaginaceae,
RB265,Plantago afra,Spain,Plantaginaceae,RB265_Plantago afra_Spain_Plantaginaceae,
RB613,Plantago afra,Canary Islands,Plantaginaceae,RB613_Plantago afra_Canary Islands_Plantaginaceae,
RB232,Plantago phaeostoma,Egypt,Plantaginaceae,RB232_Plantago phaeostoma_Egypt_Plantaginaceae,
RB1001,Plantago phaeostoma,Egypt,Plantaginaceae,RB1001_Plantago phaeostoma_Egypt_Plantaginaceae,
RB607,Plantago webbii,Canary Islands,Plantaginaceae,RB607_Plantago webbii_Canary Islands_Plantaginaceae,
RB981,Plantago arborescens,Canary Islands,Plantaginaceae,RB981_Plantago arborescens_Canary Islands_Plantaginaceae,
RB898,Plantago lanceolata,Spain,Plantaginaceae,RB898_Plantago lanceolata_Spain_Plantaginaceae,
RB611,Plantago famarae,Canary Islands,Plantaginaceae,RB611_Plantago famarae_Canary Islands_Plantaginaceae,
RB233,Plantago loeflingii,Spain,Plantaginaceae,RB233_Plantago loeflingii_Spain_Plantaginaceae,
RB900,Plantago amplexicaulis,Morocco,Plantaginaceae,RB900_Plantago amplexicaulis_Morocco_Plantaginaceae,
RB266,Plantago amplexicaulis,Spain,Plantaginaceae,RB266_Plantago amplexicaulis_Spain_Plantaginaceae,
RB929,Plantago ciliata,Tunisia,Plantaginaceae,RB929_Plantago ciliata_Tunisia_Plantaginaceae,
RB897,Plantago ovata,Spain,Plantaginaceae,RB897_Plantago ovata_Spain_Plantaginaceae,
RB608,Plantago ovata,Canary Islands,Plantaginaceae,RB608_Plantago ovata_Canary Islands_Plantaginaceae,
RB938,Plantago albicans,Portugal,Plantaginaceae,RB938_Plantago albicans_Portugal_Plantaginaceae,
RB609,Plantago loeflingii,Canary Islands,Plantaginaceae,RB609_Plantago loeflingii_Canary Islands_Plantaginaceae,
RB250,Plantago albicans,Morocco,Plantaginaceae,RB250_Plantago albicans_Morocco_Plantaginaceae,
RB254-2,#N/A,#N/A,#N/A,RB254-2_Plantago ovata_Morocco_Plantaginaceae,
RB251,Plantago ciliata,Algeria,Plantaginaceae,RB251_Plantago ciliata_Algeria_Plantaginaceae,
K17_and_K18,Plantago lagopus,Morocco,Plantaginaceae,K17_and_K18_Plantago lagopus_Morocco_Plantaginaceae,
RB795,Plantago lanceolata,Canary Islands,Plantaginaceae,RB795_Plantago lanceolata_Canary Islands_Plantaginaceae,
RB610,Plantago lagopus,Canary Islands,Plantaginaceae,RB610_Plantago lagopus_Canary Islands_Plantaginaceae,
RB252,Plantago lanceolata,France,Plantaginaceae,RB252_Plantago lanceolata_France_Plantaginaceae,
RB930-2,#N/A,#N/A,#N/A,RB930-2_Plantago loeflingii_Netherlands_Plantaginaceae,
P00966167,Plantago asphodeloides,Canary Islands,Plantaginaceae,P00966167_Plantago asphodeloides_Canary Islands_Plantaginaceae,
RB899,Plantago coronopus,Portugal,Plantaginaceae,RB899_Plantago coronopus_Portugal_Plantaginaceae,
