phylum,order,family,genus,species,num_occurrences,elevation_median,elevation_mad,TRI_median,annual_temp,diurnal_temp_range_median,temp_seasonality,temp_driest_quarter,temp_coldest_quarter,annual_precip,precip_driest_quarter,precip_seasonality,evapotranspiration,evaporation,transpiration,interception,aridity_index,growth_form,cloud_median
Tracheophyta,Apiales,Apiaceae,Ammi,Ammi majus,17,291.0083923,329.9314823,56.81499525,20.18601745,17.0899743,343.8386755,24.21737759,16.06009189,321.8356842,3.272021188,86.73956129,260.2034302,75.69010162,164.2306213,0.5,1.236861805,Annual Herbaceous,54.48699567
Tracheophyta,Apiales,Apiaceae,Astydamia,Astydamia latifolia,899,14.53629208,15.38107787,27.09284809,21.776356,14.39210379,250.2898893,24.63179904,18.59570996,217.8038461,1.340610504,87.62093107,340.9599304,226.0497284,10.7800169,0,0.638796019,Perennial Herbaceous,46.72665439
Tracheophyta,Apiales,Apiaceae,Athamanta,Athamanta cervariifolia,27,778.9697266,419.8461863,115.4828667,18.02039987,17.69715368,318.7827154,23.11399644,14.38626975,457.4612631,6.711339903,89.68181806,441.7842712,61.12714386,360.3454285,2.69409132,1.035485627,Perennial Herbaceous,57.29022552
Tracheophyta,Apiales,Apiaceae,Athamanta,Athamanta montana,103,1236.989502,879.757321,86.57692757,15.53419364,18.06432473,327.7025689,21.40604268,11.15234165,571.1816543,3.358987635,86.91089478,262.6658325,66.65284729,183.6118011,1.055866003,2.174556351,Perennial Herbaceous,52.43605768
Tracheophyta,Apiales,Apiaceae,Bupleurum,Bupleurum salicifolium,78,672.041687,154.3238738,109.8296112,18.4701879,17.24551512,295.983108,22.4702133,14.59189641,417.5056404,5.978843101,88.26947839,392.0484467,57.02982903,300.0574036,1.833534181,1.064933796,Derived Woodiness,58.89348344
Tracheophyta,Apiales,Apiaceae,Conium,Conium maculatum,20,649.4848022,118.2406982,32.73066503,17.89834064,17.24000485,325.0349176,22.87862472,13.68286454,522.5761419,12.47679795,72.38054505,306.3254547,63.74873734,256.7003021,1.117840171,1.705950759,Perennial Herbaceous,58.86985868
Tracheophyta,Apiales,Apiaceae,Crithmum,Crithmum maritimum,198,17.88826561,18.78517661,47.81275336,21.29373407,13.39467278,219.1741932,24.32117031,18.48609578,329.7485207,7.685537969,76.32883393,569.1233826,531.2539673,23.75432205,6.64E-13,0.579397246,Perennial Herbaceous,62.50615162
Tracheophyta,Apiales,Apiaceae,Daucus,Daucus carota,85,608.3699951,247.1469948,56.02591093,18.37721452,14.42010278,276.8079954,22.23832154,14.94644905,585.7317098,8.294333388,84.86133567,374.5223694,48.31457901,313.9606628,4.639286518,1.563943192,Perennial Herbaceous,63.78791542
Tracheophyta,Apiales,Apiaceae,Daucus,Daucus elegans,56,754.2930908,190.8776465,104.4086737,18.18987184,12.19790449,251.0354404,21.70392344,14.76150051,614.4148586,13.9513431,73.934891,717.7402649,44.73557663,652.8604126,17.10778618,0.856040672,Perennial Herbaceous,72.00127522
Tracheophyta,Apiales,Apiaceae,Drusa,Drusa glandulosa,165,596.4334106,447.8950526,77.10321292,19.30019637,16.53230843,300.3707408,23.39848827,15.43964003,489.1051841,5.614435318,86.64561659,445.1787415,63.34908295,353.3914795,3.065502882,1.098671474,Annual Herbaceous,65.07622693
Tracheophyta,Apiales,Apiaceae,Ferula,Ferula communis,176,791.1684265,433.7077362,73.78147915,18.34289563,17.99827197,332.0649267,23.13277845,14.06216958,457.4427086,4.008380167,85.99607487,378.2619171,77.99766922,307.3231964,0.82071811,1.20932795,Perennial Herbaceous,55.18546556
Tracheophyta,Apiales,Apiaceae,Ferula,Ferula lancerotensis,67,531.2878418,88.54621276,78.45917015,17.89249571,13.21004692,243.5920236,19.82120525,14.40325853,199.3422078,0,88.16994385,35.34485245,13.64524364,17.89574623,0.020048674,5.639921912,Perennial Herbaceous,49.96320247
Tracheophyta,Apiales,Apiaceae,Foeniculum,Foeniculum vulgare,463,531.7846069,312.3681832,51.73294415,18.9791825,15.66455774,278.5014579,22.85782885,15.2971066,484.0820033,5.727582675,84.61434865,332.546051,62.48905945,248.4838257,1.224293351,1.455684113,Perennial Herbaceous,59.28397946
Tracheophyta,Apiales,Apiaceae,Pimpinella,Pimpinella cumbrae,50,2141.907471,168.699592,77.20448,11.96119678,19.15891552,312.3666337,14.24846303,8.674015576,411.1090515,1.673185253,106.4607195,204.0678253,167.2857132,3.533866048,0,2.01457065,Perennial Herbaceous,27.01186233
Tracheophyta,Apiales,Apiaceae,Pimpinella,Pimpinella dendroselinum,24,1051.252258,583.4296138,114.0150706,16.20713161,17.98282796,339.5074593,22.19498357,12.21475485,379.6846272,3.718412542,89.51528317,368.92836,71.81177902,264.3728943,4.611961603,1.029155436,Perennial Herbaceous,50.85480358
Tracheophyta,Apiales,Apiaceae,Rutheopsis,Rutheopsis tortuosa,33,241.8414612,249.4158687,90.96311264,22.88762065,18.59621562,300.0443143,26.81319939,18.90822572,263.9672939,3.077886841,87.22091297,282.3841858,100.7170181,105.3002625,9.07E-14,0.934780725,Perennial Herbaceous,51.97080574
